name,rotation,x,y,score,type
large_gear_1,0.0,547.516,179.732,100.0,PT
large_gear_2,0.0,542.51,68.117,100.0,PT
kit_lg2small2_1_slot_l2,0.0,675.213,69.636,100.0,PT
kit_lg2small2_1_slot_l1,0.0,679.36,187.826,100.0,PT
kit_lg2small2_1_slot_s1,0.0,761.083,183.244,100.0,null
kit_lg2small2_1_slot_s2,0.0,763.609,75.496,100.0,null
small_gear_1,0.0,578.055,-59.098,100.0,null
small_gear_2,0.0,574.479,-109.95,100.0,null
large_gear_3,0.0,721.896,-391.424,100.0,null
small_gear_3,0.0,524.205,-49.206,100.0,null
small_gear_4,0.0,522.465,-102.751,100.0,null
large_gear_4,0.0,721.488,-280.869,100.0,null
kit_lg2small2_2_slot_l1,0.0,680.667,-161.03,100.0,null
kit_lg2small2_2_slot_l2,0.0,677.549,-50.837,100.0,null
kit_lg2small2_2_slot_s2,0.0,751.764,-50.824,100.0,null
kit_lg2small2_2_slot_s1,0.0,760.962,-159.069,100.0,null
