name,rotation,x,y,score,type
sku_part_medium_gear,0.0,600.3153076171875,-185.5487823486328,100.0,P
sku_part_medium_gear,0.0,600.3062744140625,-266.66351318359375,100.0,P
sku_part_medium_gear,0.0,520.133056640625,-265.7039489746094,100.0,P
sku_part_medium_gear,0.0,521.5618896484375,-184.11593627929688,100.0,P
sku_part_large_gear,0.0,536.972900390625,-2.151460647583008,100.0,P
sku_part_large_gear,0.0,582.1009521484375,-84.82301330566406,100.0,P
kit_lg1med2_1_slot_m1,0.0,439.98455810546875,-165.37579345703125,100.0,SLOT
kit_lg1med2_1_slot_m2,0.0,359.3361511230469,-165.38699340820312,100.0,SLOT
kit_lg1med2_1_slot_l1,0.0,402.5325622558594,-251.30438232421875,100.0,SLOT
kit_lg1med2_2_slot_m1,0.0,435.528564453125,20.9107723236084,100.0,SLOT
kit_lg1med2_2_slot_m2,0.0,354.6468505859375,20.90378761291504,100.0,SLOT
kit_lg1med2_2_slot_l1,0.0,401.21002197265625,-74.1336669921875,100.0,SLOT
sku_kit_m2l1_vessel,0.01,376.11,-181.91,0.49,KT
sku_small_gear_vessel,0.0,694.76,-174.18,0.73,PT
sku_medium_gear_vessel,0.03,525.35,-168.3,0.61,PT
sku_kit_m2l1_vessel,0.02,357.99,-158.95,0.77,KT
sku_kit_m2l1_vessel,0.0,450.0,0.0,100.0,KT
