name,rotation,x,y,score,type
sku_part_large_gear,0.0,673.419,193.277,100.0,P
sku_part_large_gear,0.0,672.339,85.282,100.0,P
sku_part_large_gear,0.0,675.541,-147.277,100.0,P
sku_part_large_gear,0.0,674.461,-39.282,100.0,P
sku_part_small_gear,0.0,756.201,176.564,100.0,P
sku_part_small_gear,0.0,758.313,-131.479,100.0,P
sku_part_small_gear,0.0,755.553,100.734,100.0,P
sku_part_small_gear,0.0,757.668,-54.699,100.0,P
sku_large_gear_vessel,0.0,545.013,129.0,100.0,PT
sku_large_gear_vessel,0.0,721.6895,-322.0,100.0,PT
sku_small_gear_vessel,0.0,554.993,-55.74675,100.0,PT
sku_kit_s2l2_vessel,0.01,703.0,-93.0,0.98,KT
sku_kit_s2l2_vessel,-0.01,700.8783783783783,139.0,1.0,KT
