name,rotation,x,y,score,type
sku_part_large_gear,0.0,273.4,91.3,0.91,P
sku_part_large_gear,0.0,163.7,94.5,0.91,P
sku_part_large_gear,0.0,687.2,372.3,0.91,P
sku_part_large_gear,0.0,794.8,375.4,0.91,P
sku_part_large_gear,0.0,531.1,385.8,0.91,P
sku_part_large_gear,0.0,419.3,386.1,0.91,P
sku_part_medium_gear,0.0,215.7,428.9,0.91,P
sku_part_medium_gear,0.0,291.7,432.3,0.91,P
sku_part_medium_gear,0.0,213.3,502.4,0.91,P
sku_part_medium_gear,0.0,288.4,506.7,0.91,P
sku_part_small_gear,0.0,51.5,384.9,0.91,P
sku_part_small_gear,0.0,51.2,440.9,0.91,P
sku_part_small_gear,0.0,781.8,456.9,0.91,P
sku_part_small_gear,0.0,435.0,467.4,0.91,P
sku_kit_s2l2_vessel,0.0,738.0,405.0,0.91,KT
sku_kit_s2l2_vessel,0.0,475.0,411.0,0.91,KT
sku_large_gear_vessel,0.0,218.0,93.0,0.91,PT
sku_large_gear_vessel,0.0,206.0,231.0,0.91,PT
sku_small_gear_vessel,0.0,78.0,414.0,0.91,PT
sku_medium_gear_vessel,0.0,252.0,469.0,0.91,PT
sku_kit_m2l1_vessel,0.0,493.0,110.0,0.91,KT
sku_kit_m2l1_vessel,0.0,715.0,126.0,0.91,KT
