name,rotation,x,y,score,type
sku_part_large_gear,0.0,400.02714858961065,-102.03435155756225,0.95,P
sku_part_large_gear,0.0,394.8926502729103,116.54993349807586,100.0,P
sku_part_medium_gear,0.0,307.58337269174297,-144.29138763139045,0.87,P
sku_part_medium_gear,0.0,303.75799188842217,71.53901436568479,0.84,P
sku_part_medium_gear,0.0,310.65935227737873,-67.4329154270279,0.82,P
sku_part_medium_gear,0.0,304.5271790684863,148.45516839773472,0.81,P
sku_large_gear_vessel,0.03,573.08,29.97,0.75,PT
sku_medium_gear_vessel,0.04,546.82,-115.13,0.81,PT
sku_kit_m2l1_vessel,-0.04,360.79,-107.93,0.97,KT
sku_kit_m2l1_vessel,-0.01,355.85,109.48,0.88,KT
