name,rotation,x,y,score,type
sku_part_large_gear,0.0,526.8386809133975,126.72649424451458,100.0,P
sku_part_medium_gear,0.0,510.24,-157.65,0.87,P
sku_part_medium_gear,0.0,588.68,-153.31,0.82,P
sku_part_medium_gear,0.0,507.15,-79.58,0.81,P
sku_large_gear_vessel,0.03,571.2686809133976,122.8964942445146,0.75,PT
sku_medium_gear_vessel,0.04,546.82,-115.13,0.81,PT
sku_kit_m2l1_vessel,0.7853981633974483,360.79,-107.93,0.97,KT
sku_kit_m2l1_vessel,-0.7853981633974483,355.85,109.48,0.88,KT
sku_part_large_gear,0.0,630.2421329045878,124.66622875646186,100.0,P
sku_part_medium_gear,0.0,582.7904039677879,-76.16039596821454,100.0,P
sku_part_black_gear,0.0,499.93674212516623,15.89858606216751,100.0,P
