name,rotation,x,y,score,type
sku_part_small_gear,0.0,692.9267605633802,-224.8199061032864,0.96,P
sku_small_gear_vessel,0.0,721.1267605633802,-195.5399061032864,0.95,PT
sku_large_gear_vessel,1.5707963267948966,721.1267605633802,-430.28169014084506,1.0,PT
sku_large_gear_vessel,1.5707963267948966,715.2582159624413,27.464788732394368,0.77,PT
sku_kit_s2l2_vessel,-1.5707963267948966,715.2582159624413,285.68075117370904,0.98,KT
sku_kit_s2l2_vessel,-1.5707963267948966,703.5211267605633,-706.1032863849765,0.97,KT
sku_part_small_gear,0.0,694.6267605633802,-169.0399061032864,100.0,P
sku_part_large_gear,0.0,715.2582159624413,86.46478873239431,100.0,P
sku_part_large_gear,0.0,715.2582159624415,-31.535211267605632,100.0,P
sku_part_small_gear,0.0,747.6267605633802,-222.0399061032864,100.0,P
sku_part_small_gear,0.0,747.6267605633802,-169.0399061032864,100.0,P
sku_part_large_gear,0.0,715.2582159624412,-488.96713615023475,100.0,P
sku_part_large_gear,0.0,721.1267605633802,-371.28169014084506,100.0,P
