name,rotation,x,y,score,type
sku_part_small_gear,0.0,581.4244131455398,-447.82460093896697,0.96,P
sku_small_gear_vessel,0.0,609.6244131455398,-418.5446009389671,0.95,PT
sku_large_gear_vessel,1.5707963267948966,732.8638497652582,-530.0469483568074,1.0,PT
sku_large_gear_vessel,1.5707963267948966,726.9953051643192,-283.5680751173709,0.77,PT
sku_kit_s2l2_vessel,-1.5707963267948966,718.7861271676301,-48.55491329479764,0.98,KT
sku_kit_s2l2_vessel,-1.5707963267948966,715.1734104046243,-759.2485549132948,0.97,KT
sku_part_small_gear,0.0,583.1244131455398,-392.0446009389671,100.0,P
sku_part_large_gear,0.0,726.9953051643192,-224.568075117371,100.0,P
sku_part_large_gear,0.0,726.9953051643193,-342.5680751173709,100.0,P
sku_part_small_gear,0.0,636.1244131455398,-445.044600938967,100.0,P
sku_part_small_gear,0.0,636.1244131455398,-392.0446009389671,100.0,P
sku_part_large_gear,0.0,726.9953051643192,-588.732394366197,100.0,P
sku_part_large_gear,0.0,732.8638497652582,-471.0469483568072,100.0,P
