name,rotation,x,y,score,type
sku_part_small_gear,0.0,758.5211267605634,-13.328996384976733,0.96,P
sku_small_gear_vessel,0.0,721.1267605633802,460.2343838967132,0.95,PT
sku_large_gear_vessel,1.5707963267948966,721.1267605633802,225.49259985915472,1.0,PT
sku_large_gear_vessel,1.5707963267948966,715.2582159624413,683.2390787323943,0.77,PT
sku_kit_s2l2_vessel,-1.5707963267948966,715.2582159624413,941.4550411737084,0.98,KT
sku_kit_s2l2_vessel,-1.5707963267948966,703.5211267605633,-50.32899638497679,0.97,KT
sku_part_small_gear,0.0,770.2828920443736,904.4300635765665,100.0,P
sku_part_large_gear,0.0,687.3005003139583,995.4122401528448,100.0,P
sku_part_large_gear,0.0,687.2582159624413,887.4550411737089,100.0,P
sku_part_small_gear,0.0,758.5211267605632,-87.32899638497668,100.0,P
sku_part_small_gear,0.0,770.2647999505778,978.4483767363104,100.0,P
sku_part_large_gear,0.0,675.5211267605633,3.6710036150230962,100.0,P
sku_part_large_gear,0.0,675.5211267605633,-104.32899638497679,100.0,P
