name,rotation,x,y,score,type
sku_part_large_gear,0.0,632.87,26.9,0.95,P
sku_part_large_gear,0.0,528.65,33.8,100.0,P
sku_part_medium_gear,0.0,510.24,-157.65,0.87,P
sku_part_medium_gear,0.0,585.67,-74.38,0.84,P
sku_part_medium_gear,0.0,588.68,-153.31,0.82,P
sku_part_medium_gear,0.0,507.15,-79.58,0.81,P
sku_large_gear_vessel,0.03,573.08,29.97,0.75,PT
sku_medium_gear_vessel,0.04,546.82,-115.13,0.81,PT
sku_kit_m2l1_vessel,0.7853981633974483,360.79,-107.93,0.97,KT
sku_kit_m2l1_vessel,-0.7853981633974483,355.85,109.48,0.88,KT
sku_part_large_gear,-0.09,716.26,-269.12,1.0,P
sku_part_large_gear,-0.06,536.89,178.98,1.0,P
sku_part_large_gear,-0.049999999999999996,718.68,-377.06,1.0,P
sku_part_large_gear,-0.04,537.41,73.64,1.0,P
sku_part_small_gear,0.0,578.12,-89.41,1.0,P
sku_part_small_gear,0.0,577.82,-32.72,0.99,P
sku_part_small_gear,0.0,522.77,-34.69,0.98,P
sku_part_small_gear,0.0,523.5,-89.42,0.96,P
sku_small_gear_vessel,0.0,551.7,-60.14,0.95,PT
sku_large_gear_vessel,1.5707963267948966,716.92,-320.61,1.0,PT
sku_large_gear_vessel,1.5707963267948966,538.92,125.29,0.77,PT
sku_kit_s2l2_vessel,-0.01,694.47,130.38,0.98,KT
sku_kit_s2l2_vessel,0.01,696.87,-94.12,0.97,KT

