time_ms,date,count,x,y,z,closeX,closeY,closeZ,diffCloseX,diffCloseY,diffCloseZ
1609943462972,"Wed Jan 06 09:31:02 EST 2021",1,-180.00000000000043,809.9999999999999,-290.2000000000409,-180.00000000000023,809.9999999999999,-360.00000000000017,-1.9895196601282805E-13,0.0,69.79999999995925
1609943668097,"Wed Jan 06 09:34:28 EST 2021",2,-180.00000000000043,809.9999999999999,-290.400000000041,-180.00000000000043,809.9999999999999,-290.2000000000409,0.0,0.0,-0.20000000000010232
1609944077377,"Wed Jan 06 09:41:17 EST 2021",3,-300.00000000000097,810.0000000000005,-290.200000000051,-180.00000000000023,809.9999999999999,-360.00000000000017,-120.00000000000074,5.684341886080801E-13,69.7999999999492
1609966015567,"Wed Jan 06 15:46:55 EST 2021",1,-180.0000000000004,809.9999999999999,-290.0000000000408,NaN,NaN,NaN,NaN,NaN,NaN
1609966077352,"Wed Jan 06 15:47:57 EST 2021",2,-180.0000000000004,809.9999999999999,-300.0000000000462,-180.00000000000043,809.9999999999999,-290.2000000000409,2.8421709430404007E-14,0.0,-9.800000000005298
1611068453645,"Tue Jan 19 10:00:53 EST 2021",1,-180.00000000000043,809.9999999999999,-290.2000000000409,NaN,NaN,NaN,NaN,NaN,NaN
1611068513680,"Tue Jan 19 10:01:53 EST 2021",2,-180.0000000000004,809.9999999999999,-300.0000000000462,-180.00000000000043,809.9999999999999,-290.400000000041,2.8421709430404007E-14,0.0,-9.600000000005195
1611068569149,"Tue Jan 19 10:02:49 EST 2021",3,-180.00000000000043,809.9999999999999,-310.0000000000518,-180.0000000000004,809.9999999999999,-300.2000000000462,-2.8421709430404007E-14,0.0,-9.800000000005582
1611068870097,"Tue Jan 19 10:07:50 EST 2021",4,-180.00000000000043,809.9999999999999,-320.00000000005724,-180.00000000000043,809.9999999999999,-310.0000000000518,0.0,0.0,-10.000000000005457
1611071937112,"Tue Jan 19 10:58:57 EST 2021",1,-180.0000000000004,809.9999999999999,-290.0000000000408,NaN,NaN,NaN,NaN,NaN,NaN
1611586370396,"Mon Jan 25 09:52:50 EST 2021",1,-180.0000000000004,809.9999999999999,-290.0000000000408,NaN,NaN,NaN,NaN,NaN,NaN
1611674799467,"Tue Jan 26 10:26:39 EST 2021",1,-180.0000000000004,809.9999999999999,-290.0000000000408,NaN,NaN,NaN,NaN,NaN,NaN
1611757814880,"Wed Jan 27 09:30:14 EST 2021",1,-180.00000000000043,809.9999999999999,-290.400000000041,NaN,NaN,NaN,NaN,NaN,NaN
1611780010448,"Wed Jan 27 15:40:10 EST 2021",1,-180.00000000000043,809.9999999999999,-290.2000000000409,NaN,NaN,NaN,NaN,NaN,NaN
1611780085634,"Wed Jan 27 15:41:25 EST 2021",2,-180.0000000000004,809.9999999999999,-300.2000000000462,-180.00000000000043,809.9999999999999,-290.400000000041,2.8421709430404007E-14,0.0,-9.800000000005184
1619466375110,"Mon Apr 26 15:46:15 EDT 2021",1,-179.99999999999966,809.9999999999993,-290.20000000003466,NaN,NaN,NaN,NaN,NaN,NaN
1619466483601,"Mon Apr 26 15:48:03 EDT 2021",2,-179.99999999999932,809.9999999999981,-300.40000000003647,-179.99999999999966,809.9999999999993,-290.20000000003466,3.410605131648481E-13,-1.2505552149377763E-12,-10.200000000001808
1619550053086,"Tue Apr 27 15:00:53 EDT 2021",1,-179.99999999999966,809.9999999999993,-290.20000000003466,NaN,NaN,NaN,NaN,NaN,NaN
1619550135446,"Tue Apr 27 15:02:15 EDT 2021",2,-179.99999999999932,809.9999999999981,-300.40000000003647,-179.99999999999966,809.9999999999993,-290.20000000003466,3.410605131648481E-13,-1.2505552149377763E-12,-10.200000000001808
1619550185089,"Tue Apr 27 15:03:05 EDT 2021",3,-179.9999999999988,809.9999999999964,-310.000000000038,-179.99999999999932,809.9999999999981,-300.40000000003647,5.115907697472721E-13,-1.7053025658242404E-12,-9.600000000001558
1619550262333,"Tue Apr 27 15:04:22 EDT 2021",4,-179.99999999999804,809.9999999999936,-320.200000000042,-179.99999999999878,809.9999999999962,-310.20000000003836,7.389644451905042E-13,-2.6147972675971687E-12,-10.000000000003638
1619550314608,"Tue Apr 27 15:05:14 EDT 2021",5,-179.99999999999756,809.9999999999918,-331.4000000000472,-179.99999999999804,809.9999999999936,-320.40000000004204,4.831690603168681E-13,-1.8189894035458565E-12,-11.000000000005173
1619550335202,"Tue Apr 27 15:05:35 EDT 2021",6,-299.99999999999875,809.9999999999962,-340.200000000056,-179.99999999999756,809.9999999999918,-331.4000000000472,-120.0000000000012,4.433786671143025E-12,-8.800000000008765
1619550366602,"Tue Apr 27 15:06:06 EDT 2021",7,-179.99999999999818,809.9999999999941,-340.20000000005,-179.99999999999756,809.9999999999918,-331.4000000000472,-6.252776074688882E-13,2.2737367544323206E-12,-8.800000000002797
1619550386506,"Tue Apr 27 15:06:26 EDT 2021",8,-299.99999999999784,809.9999999999941,-331.4000000000531,-179.99999999999824,809.9999999999942,-340.4000000000499,-119.9999999999996,-1.1368683772161603E-13,8.99999999999676
1620650428379,"Mon May 10 08:40:28 EDT 2021",1,-179.9999999999997,809.9999999999994,-290.00000000003433,NaN,NaN,NaN,NaN,NaN,NaN
